13.1781 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3621.9679 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
3626.5048 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A94701AD00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A947531B20>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3626.5054 	EXP 	window1: mouseVisible = True
3626.5055 	EXP 	window1: mouseVisible = False
3626.5056 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3626.5057 	EXP 	window1: recordFrameIntervals = False
3626.6698 	EXP 	window1: recordFrameIntervals = True
3626.8543 	EXP 	Screen (0) actual frame rate measured at 59.62Hz
3626.8544 	EXP 	window1: recordFrameIntervals = False
3633.8660 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
3633.9165 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
3633.9817 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
3633.9833 	EXP 	New trial (rep=0, index=0): None
3634.0553 	EXP 	grating: ori = -5.0
3634.0553 	EXP 	fixation: autoDraw = True
3634.9962 	EXP 	grating: autoDraw = True
3634.9962 	EXP 	grating: tex = 'sin'
3635.0677 	EXP 	fixation: autoDraw = False
3635.3008 	EXP 	grating: autoDraw = False
3635.7224 	EXP 	New trial (rep=1, index=0): None
3635.7346 	EXP 	fixation: autoDraw = False
3635.7346 	EXP 	grating: autoDraw = False
3635.7346 	EXP 	grating: ori = -2.0
3635.7346 	EXP 	fixation: autoDraw = True
3636.7343 	EXP 	fixation: autoDraw = False
3636.7343 	EXP 	grating: autoDraw = True
3637.0337 	EXP 	grating: autoDraw = False
3637.4576 	EXP 	New trial (rep=2, index=0): None
3637.4676 	EXP 	fixation: autoDraw = False
3637.4676 	EXP 	grating: autoDraw = False
3637.4676 	EXP 	grating: ori = 0.0
3637.4676 	EXP 	fixation: autoDraw = True
3638.4669 	EXP 	fixation: autoDraw = False
3638.4669 	EXP 	grating: autoDraw = True
3638.7672 	EXP 	grating: autoDraw = False
3639.1552 	EXP 	New trial (rep=3, index=0): None
3639.1672 	EXP 	fixation: autoDraw = False
3639.1672 	EXP 	grating: autoDraw = False
3639.1672 	EXP 	grating: ori = 2.0
3639.1672 	EXP 	fixation: autoDraw = True
3640.1543 	EXP 	grating: autoDraw = True
3640.1701 	EXP 	fixation: autoDraw = False
3640.4685 	EXP 	grating: autoDraw = False
3640.8939 	EXP 	New trial (rep=4, index=0): None
3640.9058 	EXP 	fixation: autoDraw = False
3640.9058 	EXP 	grating: autoDraw = False
3640.9058 	EXP 	grating: ori = 0.0
3640.9058 	EXP 	fixation: autoDraw = True
3641.9017 	EXP 	grating: autoDraw = True
3641.9182 	EXP 	fixation: autoDraw = False
3642.1998 	EXP 	grating: autoDraw = False
3642.6085 	EXP 	New trial (rep=5, index=0): None
